Disease,Treatment
Fungal infection,"Treatment depends on the type of fungal infection, and usually requires topical or systemic antifungal medicines. 
Pneumocystosis that does not respond to anti-fungals is treated with co-trimoxazole.
Sometimes, infected tissue needs to be surgically cut away."
Allergy,"Avoiding allergens is an important treatment approach.Over-the-counter and prescription allergy medications are also a solution to managing your allergies. These may include:
Antihistamines: Fexofenadine, Loratadine, Cetirizine (All Day Allergy-D? or Zyrtec?).

Nasal sprays (very effective, safe to use daily but they may take a few days to a week to kick in):Fluticasone nasal spray (Flonase? or ClariSpray?), Cromolyn sodium, Antihistamine nasal sprays
Decongestants (higher side effects and concerns related to long-term use): Oxymetazoline, Phenylephrine (Sudafed PE? or Sudogest PE?),Pseudoephedrine (Contac? or Sudafed?).

Asthma medications: Inhaled or oral bronchodilators, Inhaled steroids, Oral antileukotrienes, including montelukast, zafirlukast and zileuton, Injected drugs, including omalizumab, dupilumab or benralizumab.

Immunotherapy:
  A healthcare provider may recommend immunotherapy (allergy shots) and/or sublingual immunotherapy (allergy drops) if you can?t manage your allergy symptoms through over-the-counter and prescription medications and avoiding allergens. The provider will expose you to small amounts of allergens and gradually increase the dosage over several months. Gradual exposure creates a tolerance to the allergen.

Nasal saline irrigation:
  A neti pot is an over-the-counter device that pushes a saline (salt) solution through your nasal passages. It helps clear out mucus and allergens trapped inside your nasal passages."
GERD,"The treatments for GERD may include food choices, lifestyle changes, medications, and possibly surgery. Initial treatment is frequently with a proton-pump inhibitor such as omeprazole. In some cases, a person with GERD symptoms can manage them by taking over-the-counter drugs.This is often safer and less expensive than taking prescription drugs. Some guidelines recommend trying to treat symptoms with an H2 antagonist before using a proton-pump inhibitor because of cost and safety concerns.

Medical nutrition therapy and lifestyle changes
Medical nutrition therapy plays an essential role in managing the symptoms of the disease by preventing reflux, preventing pain and irritation, and decreasing gastric secretions.

Some foods such as chocolate, mint, high-fat food, and alcohol have been shown to relax the lower esophageal sphincter, increasing the risk of reflux.Weight loss is recommended for the overweight or obese, as well as avoidance of bedtime snacks or lying down immediately after meals (meals should occur at least 2?3 hours before bedtime), elevation of the head of the bed on 6-inch blocks, avoidance of smoking, and avoidance of tight clothing that increases pressure in the stomach. It may be beneficial to avoid spices, citrus juices, tomatoes and soft drinks, and to consume small frequent meals and drink liquids between meals.Some evidence suggests that reduced sugar intake and increased fiber intake can help. Although moderate exercise may improve symptoms in people with GERD, vigorous exercise may worsen them. Breathing exercises may relieve GERD symptoms.

Medications:
The primary medications used for GERD are proton-pump inhibitors, H2 receptor blockers and antacids with or without alginic acid. The use of acid suppression therapy is a common response to GERD symptoms and many people get more of this kind of treatment than their case merits. The overuse of acid suppression is a problem because of the side effects and costs.

Proton-pump inhibitors:
Proton-pump inhibitors (PPIs), such as omeprazole, are the most effective, followed by H2 receptor blockers, such as ranitidine. If a once-daily PPI is only partially effective they may be used twice a day.They should be taken one half to one hour before a meal. There is no significant difference between PPIs.When these medications are used long-term, the lowest effective dose should be taken.They may also be taken only when symptoms occur in those with frequent problems. H2 receptor blockers lead to roughly a 40% improvement.

Antacids:
The evidence for antacids is weaker with a benefit of about 10% (NNT=13) while a combination of an antacid and alginic acid (such as Gaviscon) may improve symptoms by 60% (NNT=4). Metoclopramide (a prokinetic) is not recommended either alone or in combination with other treatments due to concerns around adverse effects. The benefit of the prokinetic mosapride is modest.

Other agents:
Sucralfate has similar effectiveness to H2 receptor blockers; however, sucralfate needs to be taken multiple times a day, thus limiting its use.Baclofen, an agonist of the GABAB receptor, while effective, has similar issues of needing frequent dosing in addition to greater adverse effects compared to other medications.

Surgery
The standard surgical treatment for severe GERD is the Nissen fundoplication. In this procedure, the upper part of the stomach is wrapped around the lower esophageal sphincter to strengthen the sphincter and prevent acid reflux and to repair a hiatal hernia.It is recommended only for those who do not improve with PPIs. Quality of life is improved in the short term compared to medical therapy, but there is uncertainty in the benefits of surgery versus long-term medical management with proton pump inhibitors. When comparing different fundoplication techniques, partial posterior fundoplication surgery is more effective than partial anterior fundoplication surgery,and partial fundoplication has better outcomes than total fundoplication.

Esophagogastric dissociation is an alternative procedure that is sometimes used to treat neurologically impaired children with GERD. Preliminary studies have shown it may have a lower failure rate and a lower incidence of recurrent reflux.


"
Chronic cholestasis,"Treatment for chronic cholestasis typically involves:
Medications:
	-Ursodeoxycholic acid (UDCA) to improve bile flow.
	-Cholestyramine to relieve itching.

Nutritional support:
	-Balanced diet with adequate nutrients.
	-Supplementation of fat-soluble vitamins if necessary.
	-Symptom management:

Antihistamines or other medications for itching.
	-Rest and exercise for fatigue.
	-Monitoring and management of complications:

Regular tests to assess liver function.
	-Treatment of complications like osteoporosis or malabsorption.

Liver transplant in severe cases."
Drug Reaction,"The goal of treatment is to relieve symptoms and prevent a severe reaction.
Treatment may include:
-Antihistamines to relieve mild symptoms such as rash, hives, and itching.
-Bronchodilators such as albuterol to reduce asthma-like symptoms (moderate wheezing or cough)
-Corticosteroids applied to the skin, given by mouth, or given through a vein (intravenously)
-Epinephrine by injection to treat anaphylaxis

The offending medicine and similar drugs should be avoided. Make sure all your providers -- including dentists and hospital staff -- know about any drug allergies that you have.
In some cases, a penicillin (or other drug) allergy responds to desensitization. This treatment involves being given very small doses at first, followed by larger and larger doses of a medicine to improve your tolerance of the drug. This process should be done only by an allergist, when there is no alternative drug for you to take."
Peptic ulcer diseae,"Several different medication therapies are available to help reduce gastric acid and coat the ulcers:
-Antacids neutralize gastric acid. The disadvantage is that you need to take a relatively large dose for them to be effective, and they can cause unwanted side effects like diarrhea.
-Histamine (H2) blockers reduce gastric acid by blocking the H2 receptors. These medications decrease acid secretion and are a relatively safe treatment option.
-Proton pump inhibitors (PPIs) are drugs that block the three major pathways for acid production. PPIs suppress acid production much more effectively than H2 blockers. PPIs are the gold standard in medication therapy of peptic ulcer disease.
-Medications to protect and strengthen the mucous lining of the stomach
-Antibiotics to treat H. pylori if it is detected."
AIDS,"HIV is treated with antiretroviral medicines, which work by stopping the virus replicating in the body. This allows the immune system to repair itself and prevent further damage.
A combination of HIV drugs is used because HIV can quickly adapt and become resistant.
Some HIV treatments have been combined into a single pill, known as a fixed dose combination, although these often cost more to prescribe.
Usually, people who have just been diagnosed with HIV take between 1 and 4 pills a day.
Different combinations of HIV medicines work for different people, so the medicine you take will be individual to you.
The amount of HIV virus in your blood (viral load) is measured to see how well treatment is working. Once it can no longer be measured it's known as undetectable. Most people taking daily HIV treatment reach an undetectable viral load within 6 months of starting treatment."
Diabetes,"Treatment for diabetes includes:
	-Lifestyle changes:Healthy diet, regular exercise, and weight management.
	-Medications:Insulin or oral medications to lower blood sugar levels.
	-Blood sugar monitoring:Regular checks to track progress and adjust treatment.
	-Management of blood pressure and cholesterol levels.
	-Routine medical care and education for diabetes management."
Gastroenteritis,"Treatment depends on the cause, but may include:
	-Plenty of fluids.
	-Oral rehydration drinks, available from your pharmacist.
	-Admission to hospital and intravenous fluid replacement, in severe cases.
	-Antibiotics, if bacteria are the cause.
	-Drugs to kill the parasites, if parasites are the cause.
	-Avoiding anti-vomiting or anti-diarrhoea drugs unless prescribed or recommended by your doctor, because these medications will keep the infection inside your body."
Bronchial Asthma,"Treatment for bronchial asthma typically involves:-
Medications:
	-Quick-relief medications (e.g., albuterol) for immediate symptom relief.
	-Controller medications (e.g., inhaled corticosteroids) for long-term management and prevention of symptoms.
Lifestyle modifications:
	-Avoiding triggers such as allergens and smoke.
	-Regular exercise and maintaining a healthy weight.
Action plan:
	-Develop an asthma action plan with healthcare providers for managing worsening symptoms or asthma attacks.
Monitoring:
	-Regularly monitor symptoms and peak flow measurements to assess asthma control.
Education:
	-Receive education on proper inhaler techniques, recognizing triggers, and when to seek medical help.
Emergency treatment:
	-Seek immediate medical attention for severe asthma attacks, which may require oral corticosteroids or hospitalization."
